notif_no,substance_detected
NOT220708334K,Nan
NOT200706625K,Nan
NOT200706757K,Nan
NOT200706740K,Nan
NOT120705751K,Nan
NOT220708292K,Nan
NOT220708452K,Nan
NOT220708426K,Nan
NOT200706942K,Nan
NOT220708286K,Nan
NOT200706862K,Nan
NOT220708440K,Nan
NOT120705750K,Nan
NOT220709982K,Nan
NOT220708653K,Nan
NOT220708654K,Nan
NOT200707045K,Nan
NOT200707028K,Nan
NOT220709804K,Nan
NOT200707153K,Nan
NOT200707029K,Nan
NOT220708652K,Nan
NOT220709469K,Nan
NOT220709517K,Nan
NOT200707231K,Nan
NOT220709315K,Nan
NOT220708724K,Nan
NOT220709594K,Nan
NOT220708650K,Nan
NOT220708648K,Nan
NOT220708558K,Nan
NOT220709934K,Nan
NOT220709391K,Nan
NOT220709642K,Nan
NOT220709398K,Nan
NOT220709513K,Nan
NOT220708563K,Nan
NOT220708768K,Nan
NOT200707042K,Nan
NOT220708656K,Nan
NOT220709817K,Nan
NOT220709985K,Nan
NOT220709984K,Nan
NOT220709716K,Nan
NOT220708553K,Nan
NOT200707278K,Nan
NOT220709865K,Nan
NOT200707043K,Nan
NOT220708655K,Nan
NOT220709790K,Nan
NOT200707276K,Nan
NOT220709846K,Nan
NOT220708644K,Nan
NOT220709837K,Nan
NOT220709787K,Nan
NOT220709654K,Nan
NOT220708666K,Nan
NOT220709646K,Nan
NOT200707121K,Nan
NOT200707120K,Nan
NOT220709977K,Nan
NOT220709930K,Nan
NOT220709889K,Nan
NOT220709679K,Nan
NOT220708626K,Nan
NOT220709929K,Nan
NOT220709844K,Nan
NOT200707242K,Nan
NOT200707365K,Nan
NOT200707247K,Nan
NOT220709979K,Nan
NOT220709387K,Nan
NOT220709933K,Nan
NOT220709888K,Nan
NOT220708564K,Nan
NOT220709928K,Nan
NOT220708625K,Nan
NOT220709980K,Nan
NOT220709978K,Nan
NOT220708643K,Nan
NOT200707131K,Nan
NOT200707243K,Nan
NOT220708642K,Nan
NOT220708641K,Nan
NOT220709527K,Nan
NOT220709802K,Nan
NOT220709983K,Nan
NOT220708688K,Nan
NOT220708549K,Nan
NOT220708547K,Nan
NOT220709152K,Nan
NOT220709286K,Nan
NOT220708646K,Nan
NOT220708639K,Nan
NOT200707228K,Nan
NOT220708638K,Nan
NOT220709981K,Nan
NOT220708636K,Nan
NOT200707122K,Nan
NOT220708635K,Nan
NOT200707244K,Nan
NOT200707246K,Nan
NOT220708640K,Nan
NOT220709530K,Nan
NOT200707044K,Nan
NOT220709534K,Nan
NOT220709940K,Nan
NOT200707324K,Nan
NOT200707138K,Nan
NOT220709942K,Nan
NOT220708613K,Nan
NOT220708544K,Nan
NOT220708614K,Nan
NOT220708545K,Nan
NOT220708615K,Nan
NOT220709535K,Nan
NOT220708616K,Nan
NOT220708705K,Nan
NOT220709529K,Nan
NOT220709322K,Nan
NOT220709519K,Nan
NOT220709075K,Nan
NOT220709722K,Nan
NOT220709510K,Nan
NOT220708704K,Nan
NOT220709422K,Nan
NOT220708706K,Nan
NOT220709421K,Nan
NOT200707191K,Nan
NOT220708634K,Nan
NOT220709721K,Nan
NOT220709729K,Nan
NOT200707154K,Nan
NOT220709897K,Nan
NOT200707152K,Nan
